
,X,Y,Z,time
,0.67,-3.48,-2.44,2025-03-17T15:06:58.153585Z
,0.55,-3.54,-2.44,2025-03-17T15:06:59.259533Z
,0.67,-3.54,-2.44,2025-03-17T15:07:00.363729Z
,0.55,-3.6,-2.44,2025-03-17T15:07:01.465423Z
,0.73,-3.48,-2.5,2025-03-17T15:07:02.57523Z
,1.34,-3.6,-2.26,2025-03-17T15:07:03.676789Z
,0.61,-3.42,-2.44,2025-03-17T15:07:04.783166Z
,1.04,-3.3,-2.44,2025-03-17T15:07:05.886917Z
,0.43,-3.54,-2.5,2025-03-17T15:07:07.000716Z
,-28.32,130.8,-72.39,2025-03-17T15:07:08.096054Z
,0.43,-0.18,-1.1,2025-03-17T15:07:09.201236Z
,-22.16,-7.93,-1.28,2025-03-17T15:07:10.30927Z
,0.67,-3.6,-2.5,2025-03-17T15:07:11.413449Z
,3.54,-3.48,-2.01,2025-03-17T15:07:12.514009Z
,-1.1,-5.37,-2.99,2025-03-17T15:07:13.62136Z
,0.31,-4.09,-2.62,2025-03-17T15:07:14.724531Z
,1.34,-1.34,-1.89,2025-03-17T15:07:15.833145Z
,1.89,-2.2,-0.85,2025-03-17T15:07:16.934155Z
,1.28,-3.36,-2.2,2025-03-17T15:07:18.038503Z
,0.31,-3.54,-2.5,2025-03-17T15:07:19.144102Z
,1.04,-3.42,-2.26,2025-03-17T15:07:20.250336Z
,0.98,-3.6,-2.44,2025-03-17T15:07:21.35408Z
,0.85,-3.54,-2.38,2025-03-17T15:07:22.459432Z
,5.25,-3.72,0,2025-03-17T15:07:23.569028Z
,0.55,-4.09,-2.75,2025-03-17T15:07:24.667671Z
,4.15,6.29,1.04,2025-03-17T15:07:25.773564Z
,0.73,-3.17,-2.81,2025-03-17T15:07:26.883444Z
,10.56,-3.05,-14.04,2025-03-17T15:07:27.987657Z
,-3.42,-17.09,1.77,2025-03-17T15:07:29.088002Z
,1.95,-3.91,-2.14,2025-03-17T15:07:30.192388Z
,0.55,-3.11,-2.38,2025-03-17T15:07:31.295149Z
,0.79,-3.6,-2.32,2025-03-17T15:07:32.408733Z
,0.79,-3.78,-1.77,2025-03-17T15:07:33.522867Z
,0.92,-3.6,-2.2,2025-03-17T15:07:34.615052Z
,0.55,-3.72,0.85,2025-03-17T15:07:35.716924Z
,0.79,-4.15,-3.72,2025-03-17T15:07:36.822376Z
,1.1,-3.66,-2.32,2025-03-17T15:07:37.924003Z
,0.92,-2.2,-2.56,2025-03-17T15:07:39.031724Z
,1.28,-2.5,-1.83,2025-03-17T15:07:40.134859Z
,-8.97,-34.42,20.14,2025-03-17T15:07:41.242445Z
,-3.36,-9.77,-0.73,2025-03-17T15:07:42.347327Z
,-23.44,43.7,20.69,2025-03-17T15:07:43.450117Z
,82.46,85.27,-79.9,2025-03-17T15:07:44.558078Z
,2.75,9.34,-29.42,2025-03-17T15:07:45.662117Z
,-5.13,-4.46,-3.97,2025-03-17T15:07:46.765185Z
,-6.71,-3.05,-0.49,2025-03-17T15:07:47.889182Z
,2.14,-3.54,-2.75,2025-03-17T15:07:49.000815Z
,-0.18,-3.42,-2.62,2025-03-17T15:07:50.194533Z
,0.12,-3.66,-2.56,2025-03-17T15:07:51.187064Z
,0.79,-3.54,-2.32,2025-03-17T15:07:52.299009Z
,1.28,-2.14,-4.52,2025-03-17T15:07:53.401224Z
,-0.61,-0.31,-6.1,2025-03-17T15:07:54.508607Z
,-1.22,-3.6,-2.62,2025-03-17T15:07:55.606983Z
,0.61,-3.6,-2.62,2025-03-17T15:07:56.717455Z
,0.37,-3.42,-2.44,2025-03-17T15:07:57.81373Z
,-2.87,-3.36,-1.46,2025-03-17T15:07:58.925416Z
,1.1,-3.78,-2.75,2025-03-17T15:08:00.027243Z
,0.98,-4.09,-2.38,2025-03-17T15:08:01.131907Z
,0.43,-3.54,-2.38,2025-03-17T15:08:02.23733Z
,0.61,-3.48,-2.38,2025-03-17T15:08:03.339569Z
,1.04,-3.54,-2.5,2025-03-17T15:08:04.448215Z
,0.55,-3.3,-2.75,2025-03-17T15:08:05.554446Z
,0.85,-3.66,-2.26,2025-03-17T15:08:06.654963Z
,2.56,-3.11,-2.5,2025-03-17T15:08:07.760088Z
,0.92,-3.54,-2.38,2025-03-17T15:08:08.86779Z
,0.49,-3.6,-2.38,2025-03-17T15:08:09.973269Z
,-0.85,-3.78,-2.38,2025-03-17T15:08:11.073501Z
,1.1,-3.48,-2.44,2025-03-17T15:08:12.182496Z
,0.73,-3.72,-2.32,2025-03-17T15:08:13.282864Z
,0.18,-3.23,-2.81,2025-03-17T15:08:14.390706Z
,0.73,-3.66,-2.44,2025-03-17T15:08:15.496414Z
,0.79,-3.42,-2.38,2025-03-17T15:08:16.601447Z
